species,set,number,year,rarity,notes,alt_asset_id,reason_flag,cause,detail
Drifblim,Diamond & Pearl Black Star Promos,DP34,2007-2009,Promo,,67593b08-7438-4b47-b911-bbc22ef6990f,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Beautifly,Dragons Exalted,8/124,2012,Rare,,13e611eb-87a4-4195-839f-f58f230d59a6,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Gigalith,Emerging Powers,53/98,2011,Rare,,8ed88c24-99a6-4b50-952b-54b0dbf08002,matched_blank_pop,no_psa_rows_but_twin_record_has_psa,live PSA rows none; companies present CGC; twin b6393032-4dbb-4dac-a86d-f4e4323dc548 pop 0 (2011 Pokemon Black and White Emerging Powers Prere)
Unfezant,Emerging Powers,82/98,2011,Rare,,b9f45352-6402-46ff-b6b9-4d3f4f0f9222,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Exploud,Great Encounters,17/106,2008,Rare,,b4caa195-0e79-4c10-baa6-36a1a528db73,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Unown,Great Encounters,29/106,2008,Rare,Unown H,741176d1-f446-4c52-90b5-c6d5efb557f1,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Hypno,HeartGold & SoulSilver,23/123,2010,Rare,,59afbefc-6a3e-4af5-9563-4249a2c0f77e,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Weezing,HeartGold & SoulSilver,34/123,2010,Rare,,0e9c45a9-b640-4a9f-989d-cc486701f012,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Cleffa,HeartGold & SoulSilver Black Star Promos,HGSS12,2010-2011,Promo,,85e217c9-90e1-4705-93ab-a4161117438a,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present BGS
Lapras,HeartGold & SoulSilver Black Star Promos,HGSS14,2010-2011,Promo,,99a8169c-a1cc-4670-ab15-8aa6534e94ce,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present BGS
Plusle,HeartGold & SoulSilver Black Star Promos,HGSS16,2010-2011,Promo,,22c544f2-91d1-4911-9d74-69e135a97781,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present BGS
Smoochum,HeartGold & SoulSilver Black Star Promos,HGSS13,2010-2011,Promo,,37267183-5e22-45e5-b8d3-e3c2ac2c3ab2,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present BGS
Landorus,Legendary Treasures,85/113,2013,Rare Holo,,af8575ad-f3b2-4c75-bf82-83929a74f11a,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Seismitoad,Legendary Treasures,42/113,2013,Rare,,b22607be-2ed4-4e6b-8952-1fa3e64ee577,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present BGS
Meloetta,Legendary Treasures - Radiant Collection,RC11/RC25,2013,Rare Ultra,"card name Meloetta-EX; corrected from Rare to Rare Ultra 2026-09-20 per spot-check against TCGplayer/eBay/PokeOrder — full-art holofoil EX card, not plain Rare",ed870974-9691-4f25-a2e2-aadadab83a3f,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,"live PSA rows none; companies present BGS,CGC"
Kricketune,Mysterious Treasures,27/123,2007,Rare,,ddcbd259-fd44-44bd-8687-a079364e654e,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Scrafty,Next Destinies,74/99,2012,Rare Holo,,265ce7f4-c19f-41eb-bb19-c9880801a18c,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Cofagrigus,Noble Victories,46/101,2011,Rare,,fd29bb02-ccbd-451c-ac01-48d7171de7b0,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Gigalith,Noble Victories,61/101,2011,Rare,,c4ceb5ad-120d-4aba-95b1-d0066f913a40,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Azelf,Plasma Blast,38/101,2013,Rare,,a68ba57c-e94d-4931-a2c5-6f19613c4609,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present BGS
Carracosta,Plasma Blast,28/101,2013,Rare,,f2b75f74-6178-4f1c-93bd-b76918c8d2a1,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Beedrill,Plasma Freeze,3/116,2013,Rare,,7ea99b6d-1a1e-4bff-9387-1bb2c1e76b5b,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Electrode,Plasma Freeze,33/116,2013,Rare Holo,,f42779bf-1edb-485c-9b11-73e6ef65da27,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Exeggutor,Plasma Freeze,5/116,2013,Rare,,7470d0b3-ff9b-4fba-aa6c-29097309bdd8,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Quagsire,Plasma Freeze,22/116,2013,Rare,,29b182e4-8b16-45a7-b579-72e2afcdd89e,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Beartic,Plasma Storm,41/135,2013,Rare,,aa37b366-c52e-4fea-98c1-b5d8354f4b16,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Cherrim,Plasma Storm,7/135,2013,Rare,,4b590730-ca6c-41b4-9305-1c5e4def2cd7,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Exploud,Plasma Storm,107/135,2013,Rare,,f07888dd-9725-466c-a5e4-10add84bf468,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Klinklang,Plasma Storm,90/135,2013,Rare Holo,,8eec66d6-3979-460d-a7f7-8e853c4fd8ee,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Leavanny,Plasma Storm,10/135,2013,Rare,,2c8aa1aa-83ae-4554-b6a5-7adde2050b94,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Mamoswine,Plasma Storm,28/135,2013,Rare,,0f9ca69b-cbb3-4040-84d7-48a19dcba477,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Vanilluxe,Plasma Storm,37/135,2013,Rare,,2ed46c6c-e8e2-4819-be25-e952f211945a,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Luvdisc,Platinum,35/127,2009,Rare,,6c9884f9-5842-4567-91a0-a3474abf85d6,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Swablu,Platinum,SH5,2009,Rare Holo,,230cb2fc-ac55-4532-9ea2-565669c41747,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,"live PSA rows none; companies present BGS,CGC"
Gastrodon,Rising Rivals,22/111,2009,Rare,Gastrodon (West Sea),a15ba4c5-7171-47d6-9ec1-49d863ddc737,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Banette,Secret Wonders,23/132,2007,Rare,,8e6cf2b0-669d-402a-9e6a-605da78e5bdd,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Golem,Secret Wonders,29/132,2007,Rare,,a05c1e04-e8a0-427c-88d3-a3f78d6c7fe8,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Mothim,Secret Wonders,33/132,2007,Rare,,6d10be41-b31f-4822-9e17-faac7d406004,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Wormadam,Secret Wonders,41/132,2007,Rare,Wormadam (Plant Cloak),7036773f-d175-481d-ac5c-ea0a4499aff6,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Wormadam,Secret Wonders,42/132,2007,Rare,Wormadam (Sandy Cloak),b1647be7-b73b-460e-8326-5f1e739ed01c,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Xatu,Secret Wonders,44/132,2007,Rare,,d4b5d701-6a20-4792-a361-e9467075944e,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Bronzong,Stormfront,13/100,2008,Rare,,8a897857-9e9a-4e52-93b8-973fbd799799,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Cherrim,Stormfront,14/100,2008,Rare,,569b31c2-7f6e-4239-88ca-64f8b7afbdc9,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Drapion,Stormfront,15/100,2008,Rare,,9b2e03d6-34f6-4a0b-8bfc-efa6e5cc72b3,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Rapidash,Stormfront,22/100,2008,Rare,,ec30c8e2-ee0e-42f9-b13c-dd43faca8f1b,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Staraptor,Stormfront,27/100,2008,Rare,,8a030f67-0825-4d5d-a92b-7cc019ca721e,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Chimecho,Supreme Victors,21/147,2009,Rare,,e32f0bfa-fb4f-4e58-a22f-1d9243751694,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,"live PSA rows none; companies present BGS,CGC"
Claydol,Supreme Victors,22/147,2009,Rare,,40e17d79-bb99-4bd2-92bc-e0c2e67f6c0a,matched_blank_pop,no_psa_rows_but_twin_record_has_psa,live PSA rows none; companies present CGC; twin 00b4bceb-db2d-4823-9ab0-352d147c0328 pop 0 (2009 Pokemon Platinum Supreme Victors Reverse Foil)
Dodrio,Supreme Victors,25/147,2009,Rare,,9c37f9d1-313f-4dc4-a086-797c23b1b09d,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Lickilicky,Supreme Victors,30/147,2009,Rare,Lickilicky C,2743dbe9-9a20-43cd-9b35-754a37c817d0,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present BGS
Solrock,Supreme Victors,45/147,2009,Rare,,f5df9654-fe08-46f2-ab8c-b6804be57303,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Kricketune,Triumphant,24/102,2010,Rare,,9469751b-50d3-4160-a4a7-9ae47a4ed73a,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Pidgeot,Triumphant,29/102,2010,Rare,,cfb9728c-3874-4517-8789-aabd6dcef63d,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Yanmega,Triumphant,98/102,2010,Rare Prime,,4186724e-bd55-4750-a21e-7fdc2ac56384,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,"live PSA rows none; companies present BGS,CGC"
Dodrio,Undaunted,11/90,2010,Rare,,3574187b-b23a-4a7b-8ba9-2a6ffb36893c,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Ursaring,Unleashed,27/95,2010,Rare,,4b605988-8bad-4293-8f5d-dbd4072bda31,matched_blank_pop,no_psa_rows_on_alt_xyz_confirmed,live PSA rows none; companies present CGC
Unown,EX Unseen Forces,A/28,2005,Rare Holo,Unown A,,unmatched_no_candidate,not_found_by_name_search,2005 Pokemon Ex Unseen Forces Unown Holo Unown Y #; 2005 Pokemon Ex Unseen Forces Unown Unown K #K
Unown,EX Unseen Forces,M/28,2005,Rare Holo,Unown M,,unmatched_no_candidate,not_found_by_name_search,2005 Pokemon Ex Unseen Forces Unown Holo Unown Y #; 2005 Pokemon Ex Unseen Forces Unown Unown K #K
Unown,EX Unseen Forces,U/28,2005,Rare Holo,Unown U,,unmatched_no_candidate,not_found_by_name_search,2005 Pokemon Ex Unseen Forces Unown Holo Unown Y #; 2005 Pokemon Ex Unseen Forces Unown Unown K #K
Unown,EX Unseen Forces,Y/28,2005,Rare Holo,Unown Y,,unmatched_no_candidate,not_found_by_name_search,2005 Pokemon Ex Unseen Forces Unown Holo Unown Y #
Unown,EX Unseen Forces,!/28,2005,Rare Holo,Unown !,,unmatched_no_candidate,not_found_by_name_search,2005 Pokemon Ex Unseen Forces Unown Holo Unown Y #; 2005 Pokemon Ex Unseen Forces Unown Unown K #K
Minun,POP Series 3,4/17,2006,Rare,,,unmatched_no_candidate,not_found_by_name_search,2000 Pokemon Tv Animation Series 3 Pop-Ups Misty #; 2006 Pop Series 4 English Cosmos Holo Epic Collect
Plusle,POP Series 3,5/17,2006,Rare,,,unmatched_no_candidate,not_found_by_name_search,2000 Pokemon Tv Animation Series 3 Pop-Ups Team Ro; 2006 Pop Series 3 English Cosmos Holo Eeveelutions
Ho-Oh,POP Series 3,17/17,2006,Rare Holo ex,Ho-Oh ex,,unmatched_no_candidate,not_found_by_name_search,2006 Pop Series 3 English Cosmos Holo Eeveelutions; 2006 Pokemon Pop Series 3 Jolteon #3
Deoxys,POP Series 4,2/17,2006,Rare,Deoxys δ [Normal],,unmatched_no_candidate,not_found_by_name_search,2006 Pop Series 4 English Cosmos Holo Epic Collect; 2006 Pokemon Pop Series 4 Chimecho #1
Mew,POP Series 4,4/17,2006,Rare,,,unmatched_no_candidate,not_found_by_name_search,2006 Pokemon Pop Series 4 Chimecho #1; 2006 Pokemon Pop Series 4 Pidgey #12
Ho-Oh,POP Series 5,1/17,2007,Rare,,,unmatched_no_candidate,not_found_by_name_search,2004 Pokemon Pop Series 1 Holo Swampert #5; 2007 Pop Series 5 English (Non Holo) Lugia #2
Manaphy,POP Series 6,3/17,2007,Rare,,,unmatched_no_candidate,not_found_by_name_search,2000 Pokemon Tv Animation Series 3 Pop-Ups Marill ; 2007 Pokemon Pop Series 6 Pop Series 6 Pikachu #9
Pachirisu,POP Series 6,4/17,2007,Rare,,,unmatched_no_candidate,not_found_by_name_search,2007 Pokemon Pop Series 6 Pop Series 6 Pikachu #9; 2004 Pokemon Pop Series 1 Beautifly #6
Rampardos,POP Series 6,5/17,2007,Rare,,,unmatched_no_candidate,not_found_by_name_search,2007 Pokemon Pop Series 6 Pop Series 6 Pikachu #9; 2004 Pokemon Pop Series 1 Beautifly #6
Mothim,POP Series 7,5/17,2008,Rare,,,unmatched_no_candidate,not_found_by_name_search,2000 Pokemon Tv Animation Series 3 Pop-Ups #54 Psy
Purugly,Diamond & Pearl,36/130,2007,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2007 Pokemon Diamond and Pearl Purugly #36 | year 2007 | id 8e38e916-0291-49cb-8544-1e3877914efc | pop None
Vespiquen,Diamond & Pearl,39/130,2007,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2007 Pokemon Diamond and Pearl Vespiquen #39 | year 2007 | id 59ee3e3b-2f5b-4a95-8f2d-db98e44b16bb | pop None
Wobbuffet,Diamond & Pearl,41/130,2007,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2007 Pokemon Diamond and Pearl Wobbuffet #41 | year 2007 | id 559c5095-232f-42a4-8d27-02880d13fc9a | pop None
Manectric,Mysterious Treasures,28/123,2007,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2007 Pokemon Diamond and Pearl Mysterious Treasures Manectric #28 | year 2007 | id 48ec0117-4db5-43c4-a65e-f41bb467e0c9 | pop None
Mantine,Mysterious Treasures,29/123,2007,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2007 Pokemon Diamond and Pearl Mysterious Treasures Mantine #29 | year 2007 | id 415b11cf-136c-4742-ac69-4a0a90348e0c | pop None
Unown,Mysterious Treasures,37/123,2007,Rare,Unown I,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2007 Pokemon Diamond and Pearl Mysterious Treasures Unown #37 | year 2007 | id 03657ba1-b21e-4b27-a905-4356aed7e7e4 | pop None
Walrein,Mysterious Treasures,39/123,2007,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2007 Pokemon Diamond and Pearl Mysterious Treasures Walrein #39 | year 2007 | id 2c46c694-c1c9-4311-8c0f-d72b575803e4 | pop None
Electrode,Secret Wonders,26/132,2007,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2007 Pokemon Diamond and Pearl Secret Wonders Electrode #26 | year 2007 | id f1f1b2db-0233-4cb5-8424-13c15d38eebe | pop None
Nidoking,Secret Wonders,34/132,2007,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2007 Pokemon Diamond and Pearl Secret Wonders Nidoking #34 | year 2007 | id 83f60501-56ec-4d57-9a5b-dd0bdcbe4d2b | pop None
Wigglytuff,Great Encounters,32/106,2008,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2008 Pokemon Diamond and Pearl Great Encounters Wigglytuff #32 | year 2008 | id e0f011c2-1ad1-44f9-a3c2-38ebc38b48e6 | pop None
Omastar,Majestic Dawn,26/100,2008,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2008 Pokemon Diamond and Pearl Majestic Dawn Omastar #26 | year 2008 | id 115b9409-cffc-42f2-b665-185173b675f2 | pop 70
Unown,Majestic Dawn,33/100,2008,Rare,Unown P,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2008 Pokemon Diamond and Pearl Majestic Dawn Unown P #33 | year 2008 | id 9e041368-882f-4e48-b663-416972a84eac | pop None
Drifblim,Stormfront,16/100,2008,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2008 Pokemon Diamond and Pearl Stormfront Drifblim #16 | year 2008 | id 6683edc9-4002-4d22-8cd0-e8a546215e3b | pop None
Roserade,Stormfront,23/100,2008,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2008 Pokemon Diamond and Pearl Stormfront Roserade #23 | year 2008 | id b9f34516-f40c-49a7-b60c-ca0f82f78ed2 | pop None
Skuntank,Stormfront,26/100,2008,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2008 Pokemon Diamond and Pearl Stormfront Skuntank #26 | year 2008 | id 69d9074d-d4d6-4487-90ef-97ddfc85e439 | pop None
Tangrowth,Stormfront,29/100,2008,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2008 Pokemon Diamond and Pearl Stormfront Tangrowth #29 | year 2008 | id 7d25e048-5cc5-42c1-be4b-015a56849861 | pop None
Golduck,Platinum,29/127,2009,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2009 Pokemon Platinum Golduck #29 | year 2009 | id 578941ab-c0c4-48e5-bce0-e956f925248c | pop None
Vespiquen,Rising Rivals,35/111,2009,Rare,Vespiquen 4,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2009 Pokemon Platinum Rising Rivals Vespiquen 4 #35 | year 2009 | id e6081d4c-a668-4b20-ac72-30f71ede5424 | pop None
Walrein,Rising Rivals,36/111,2009,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2009 Pokemon Platinum Rising Rivals Walrein #36 | year 2009 | id ccd1aa14-c503-46c2-a5c7-6269c3485c9d | pop None
Yanmega,Rising Rivals,37/111,2009,Rare,Yanmega 4,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2009 Pokemon Platinum Rising Rivals Yanmega 4 #37 | year 2009 | id 614c212c-7863-4368-bd34-d80268fffcb8 | pop None
Camerupt,Supreme Victors,19/147,2009,Rare,Camerupt G,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2009 Pokemon TCG Platinum Supreme Victors Camerupt Reverse #19 | year 2009 | id 9d549f7d-2fe7-4439-b5a5-68e574505ad7 | pop None
Dusknoir,Supreme Victors,26/147,2009,Rare,Dusknoir FB,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2009 Pokemon Platinum Supreme Victors Dusknoir Fb #26 | year 2009 | id 407551b9-59e9-40ee-bdd9-95df19150a20 | pop None
Honchkrow,Supreme Victors,29/147,2009,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2009 Pokemon Platinum Supreme Victors Honchkrow #29 | year 2009 | id 80f08f30-cb83-49e2-811b-5f3bf0c69e25 | pop None
Roserade,Supreme Victors,40/147,2009,Rare,Roserade C,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2009 Pokemon Platinum Supreme Victors Roserade #40 | year 2009 | id c61387b4-ec9f-44ac-a6c0-847b2f02e483 | pop None
Glalie,Platinum: Arceus,18/99,2009,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2009 Pokemon Platinum Arceus Glalie #18 | year 2009 | id 4e28dd1a-8b9f-4dc2-bd83-b99fe0ba117d | pop None
Lopunny,Platinum: Arceus,21/99,2009,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2009 Pokemon Platinum Arceus Italian Lopunny #21 | year 2009 | id 00f5ff03-6c8b-4577-bd0d-e630a21a794d | pop None
Quagsire,HeartGold & SoulSilver,9/123,2010,Rare Holo,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2010 Pokemon Heartgold Soulsilver Quagsire Holo R #9 | year 2010 | id 3694bd75-a6ee-446a-929a-fc97b432c89c | pop None
Exeggutor,HeartGold & SoulSilver,18/123,2010,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2010 Pokemon Heartgold Soulsilver Exeggutor R #18 | year 2010 | id d47e9636-e19b-477b-b29c-89d5ed773306 | pop None
Farfetch'd,HeartGold & SoulSilver,19/123,2010,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2010 Pokemon Heartgold Soulsilver Farfetch'D R #19 | year 2010 | id bf5e437c-ea1a-41ad-a021-758059ec4b28 | pop None
Furret,HeartGold & SoulSilver,21/123,2010,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2010 Pokemon Heartgold Soulsilver Furret R #21 | year 2010 | id 6eed40ff-2cae-47dc-946f-cab077f90eac | pop None
Lapras,HeartGold & SoulSilver,24/123,2010,Rare,,,unmatched_no_candidate,on_alt_xyz_in_our_feed,2010 Pokemon Heartgold Soulsilver Spanish Lapras #24 | year 2010 | id 409d8285-ab16-45f9-a333-e4e54125c78c | pop 10
Ledian,HeartGold & SoulSilver,25/123,2010,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2010 Pokemon Heartgold Soulsilver Ledian R #25 | year 2010 | id 69742a46-2f5c-4d81-ab1c-43b532608ef0 | pop None
Sandslash,HeartGold & SoulSilver,29/123,2010,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2010 Pokemon Heartgold Soulsilver Sandslash R #29 | year 2010 | id 4885cdc6-4bfd-4911-b412-f4ddfccd36ea | pop None
Sunflora,HeartGold & SoulSilver,31/123,2010,Rare,,,unmatched_no_candidate,on_alt_xyz_not_in_feed,2010 Pokemon Heartgold Soulsilver Sunflora R #31 | year 2010 | id 7608dfe0-563c-4847-aa78-47417cd5f67a | pop None
