character,alt_english_rows,with_psa10_pop,zero_psa10_pop,no_psa_rows,with_price,alt_market_cap_usd,alt_market_cap_le2013_usd,newest_scrape
Ampharos,64,55,1,8,49,11514949,10649923,2026-09-22
Kingdra,43,34,3,6,30,11423655,4478089,2026-09-22
Meowth,111,80,9,22,70,11238788,4615522,2026-09-22
Clefairy,82,57,7,18,52,11089958,6893665,2026-09-22
Ditto,66,51,1,14,50,11044122,9801161,2026-09-22
Blaziken,59,49,2,8,49,10621375,3531855,2026-09-22
Piplup,42,26,6,10,19,10323928,33350,2026-09-22
Victini,54,45,3,6,39,10253363,1213683,2026-09-22
Jirachi,53,40,3,10,38,9774940,5337918,2026-09-22
Metagross,52,46,4,2,39,9636728,7921906,2026-09-22
Slowpoke,76,64,0,12,52,8806644,1992760,2026-09-22
Scizor,54,47,2,5,42,8608793,5995495,2026-09-22
Treecko,46,31,5,10,25,8028836,7944013,2026-09-22
Feraligatr,44,37,4,3,34,7979540,7147962,2026-09-22
Steelix,57,47,5,5,42,7346163,5549767,2026-09-22
Absol,50,42,3,5,39,7228174,6026523,2026-09-22
Zoroark,62,48,6,8,47,6982150,233202,2026-09-22
Sableye,41,33,4,4,27,6702228,1021523,2026-09-22
Salamence,49,41,2,6,41,6230327,4456049,2026-09-22
Crobat,59,48,4,7,45,6189258,4858853,2026-09-22
Clefable,51,37,6,8,33,5624882,5294670,2026-09-22
Meganium,38,31,2,5,30,5511014,5170288,2026-09-22
Starmie,66,50,5,11,45,5003102,1782100,2026-09-22
Milotic,45,35,7,3,30,4484841,2583449,2026-09-22
Lunala,24,19,0,5,19,3925111,0,2026-09-22
Solgaleo,25,20,1,4,19,3779529,0,2026-09-22
Jigglypuff,67,52,3,12,47,3504435,1699438,2026-09-22
Regirock,24,18,2,4,17,3317271,3247449,2026-09-22
Swampert,30,26,0,4,23,2898546,2785369,2026-09-22
Altaria,50,43,3,4,41,2878154,984741,2026-09-22
Regice,18,13,3,2,11,2856937,2854783,2026-09-22
Registeel,19,17,1,1,15,2627202,2626049,2026-09-22
Sceptile,43,35,3,5,30,2585526,1685052,2026-09-22
Flygon,42,32,3,7,27,2251665,1772626,2026-09-22
Kyurem,59,44,4,11,43,2232474,746998,2026-09-22
Unown,129,96,24,9,89,2136071,1581353,2026-09-22
