input,asset_id,card_name,alt_url,alt_public_url,year,set,card_number,subject,variety,grading_company,grade,pop_at_grade,company_total_pop,index_total_pop,index_transaction_count,num_sales,last_sale_price,last_sale_date,last_sale_source,avg_last_3_sales,highest_sale,lowest_sale,scraped_at,listing_source,listing_grade,listing_grading_company,listing_price,listing_url,clean_last_sale_price,clean_last_sale_date,clean_last_sale_source,outliers_excluded,price_chg_30d_pct,price_chg_90d_pct,price_chg_1y_pct,mkt_cap_chg_30d_pct,volume_30d,volume_90d,volume_1y,pop_30d_ago,pop_chg_30d,median_last_3,sales_first_date,sales_total,history_days
asset:00140183-3030-455e-8449-67a1aec016bf,00140183-3030-455e-8449-67a1aec016bf,2004 Pokemon Pcg Era Japanese Promos Deoxys?Speed Forme/(Mcdonald's Promotion January 2005) #032PCGP,https://alt.xyz/research/00140183-3030-455e-8449-67a1aec016bf,,2004,Pokemon Pcg Era Japanese Promos,032PCGP,Deoxys?Speed Forme/(Mcdonald's Promotion January 2005),,PSA,10.0,,,2,,0,,,,,,,2026-09-13T12:32:44,,,,,,,,,0,,,,,0,0,0,,,,,0,0
asset:00147e68-0b7e-48a4-9206-25c56a3910ff,00147e68-0b7e-48a4-9206-25c56a3910ff,2019 Pokemon Sun and Moon Promo Japanese Pokemon Center Gardevoir #408SMP,https://alt.xyz/research/00147e68-0b7e-48a4-9206-25c56a3910ff,https://alt.xyz/itm/b0a25989-4445-492f-8adb-d023c2771e46/external,2019,Pokemon Sun and Moon Promo Japanese,408SMP,Gardevoir,Pokemon Center,PSA,10.0,1020,1548,1831,,272,98.0,2026-08-31,PWCC Fixed Price,127.74,265.48,11.5,2026-09-12T09:58:09,,,,,,98,2026-08-31,PWCC Fixed Price,0,-47.73,-47.03,30.63,,2,9,57,,,98,2023-08-20,188,1
asset:00157b94-60a0-4be8-957a-ea85bf72c155,00157b94-60a0-4be8-957a-ea85bf72c155,1999 Pokemon Base Set Shadowless Dragonair #18,https://alt.xyz/research/00157b94-60a0-4be8-957a-ea85bf72c155,https://alt.xyz/itm/5241ccef-498f-41f4-b5b5-67798ac1ac5b/external,1999,Pokemon Base Set,18,Dragonair,Shadowless,PSA,10.0,95,1147,,,51,865.0,2026-06-14,eBay,921.98,1750.0,179.99,2026-09-10T22:18:23,,,,,,865,2026-06-14,eBay,0,,,65.63,,0,0,12,,,910.95,2021-03-28,51,1
asset:0018e274-a179-46b7-9d77-4570f8419273,0018e274-a179-46b7-9d77-4570f8419273,2006 Pokemon Ex Crystal Guardians Reverse Holo Gulpin #33,https://alt.xyz/research/0018e274-a179-46b7-9d77-4570f8419273,,2006,Pokemon Ex Crystal Guardians,33,Gulpin,Reverse Holo,PSA,10.0,14,81,,,19,1080.0,2026-08-23,PWCC Weekly Auctions,1020.0,1500.0,30.0,2026-09-10T23:32:28,,,,,,165,2025-10-15,eBay,5,,,,,0,0,1,,,,2021-08-20,14,1
asset:001c515f-0c11-4144-8be0-a5994d86175c,001c515f-0c11-4144-8be0-a5994d86175c,2016 Pokemon Awakening Psychic King Japanese 1st Edition Umbreon Ex #82,https://alt.xyz/research/001c515f-0c11-4144-8be0-a5994d86175c,https://alt.xyz/itm/38488069-a30d-404f-8eb9-c458b890a3e1/external,2016,Pokemon Awakening Psychic King Japanese,82,Umbreon Ex,1st Edition,PSA,10.0,469,900,938,,41,4172.0,2026-08-18,eBay,4393.67,5655.0,500.0,2026-09-12T10:11:11,,,,,,4172,2026-08-18,eBay,0,-17.37,-17.37,111.24,,1,2,14,,,4172,2021-04-16,41,1
asset:001ddc21-bbf9-4a1e-acff-fc5e46daf92a,001ddc21-bbf9-4a1e-acff-fc5e46daf92a,2016 Pokemon XY Steam Siege Marill #76,https://alt.xyz/research/001ddc21-bbf9-4a1e-acff-fc5e46daf92a,,2016,Pokemon XY Steam Siege,76,Marill,,PSA,10.0,3,7,,,2,39.57,2023-05-12,eBay,32.28,39.57,25.0,2026-09-11T00:48:52,,,,,,39.57,2023-05-12,eBay,0,,,,,0,0,0,,,,2022-08-20,2,1
asset:0020178f-e690-4d62-94f7-7a05501fa3d0,0020178f-e690-4d62-94f7-7a05501fa3d0,2004 Pokemon Ex Fire Red Leaf Green Reverse Holo Tauros #16,https://alt.xyz/research/0020178f-e690-4d62-94f7-7a05501fa3d0,,2004,Pokemon Ex Fire Red Leaf Green,16,Tauros,Reverse Holo,PSA,10.0,32,162,,,32,1400.0,2026-08-25,eBay,1366.33,1699.0,55.0,2026-09-10T23:12:13,,,,,,1400,2026-08-25,eBay,0,156.88,156.88,1072.63,,3,3,14,,,1400,2021-04-27,32,1
asset:00206665-b048-4b65-86c9-0c518959a345,00206665-b048-4b65-86c9-0c518959a345,2021 Pokemon Japanese Reverse Holo 25th Anniversary Groudon #6,https://alt.xyz/research/00206665-b048-4b65-86c9-0c518959a345,https://alt.xyz/itm/d7d26cc1-65e9-4494-90d6-aac0d755e0a2/external,2021,Pokemon Japanese,6,Groudon,Reverse Holo 25th Anniversary,PSA,10.0,787,884,1124,,40,50.0,2026-09-11,eBay,55.67,120.0,12.92,2026-09-12T10:07:23,,,,,,50,2026-09-11,eBay,0,-13.69,-34.08,16,,6,9,18,,,58,2022-10-10,40,1
asset:0020e529-6ed1-4123-a834-29d161bcde90,0020e529-6ed1-4123-a834-29d161bcde90,2007 Pokemon Diamond and Pearl Secret of the Lakes Japanese Barboach #392,https://alt.xyz/research/0020e529-6ed1-4123-a834-29d161bcde90,,2007,Pokemon Diamond and Pearl Secret of the Lakes Japanese,392,Barboach,,PSA,10.0,1,1,,,1,41.33,2025-12-18,eBay,41.33,41.33,41.33,2026-09-11T01:14:28,,,,,,41.33,2025-12-18,eBay,0,,,,,0,0,1,,,,2025-12-18,1,1
asset:002179dc-75b8-4d3e-ace1-150980913864,002179dc-75b8-4d3e-ace1-150980913864,2019 Star Pokemon Sword and Shield Black Promos Italian Charizard Vstar #SWSH262,https://alt.xyz/research/002179dc-75b8-4d3e-ace1-150980913864,https://alt.xyz/itm/fc1f98bc-dae6-4b5f-948a-9568caebb6bd/external,2019,Star,SWSH262,Charizard Vstar,Pokemon Sword and Shield Black  Promos Italian,PSA,10.0,47,370,486,,0,,,,,,,2026-09-13T17:01:58,,,,,,,,,0,,,,,0,0,0,,,,,0,1
asset:0022036a-1516-4665-82de-5b50889ce1ac,0022036a-1516-4665-82de-5b50889ce1ac,2016 Pokemon Awakening Psychic King Japanese 1st Edition Lugia #58,https://alt.xyz/research/0022036a-1516-4665-82de-5b50889ce1ac,https://alt.xyz/itm/7a9887e4-7746-4db7-a2ac-b5004725cb58/external,2016,Pokemon Awakening Psychic King Japanese,58,Lugia,1st Edition,PSA,10.0,412,552,625,,125,355.0,2026-09-10,eBay,354.31,3480.0,31.0,2026-09-12T10:34:31,,,,,,355,2026-09-10,eBay,4,-41.8,-41.8,281.93,,12,13,35,,,355,2021-07-18,121,1
asset:002244ea-4d30-47c5-8d13-3cad68c34bc6,002244ea-4d30-47c5-8d13-3cad68c34bc6,2003 Pokemon Skyridge Italian Holo Machamp #H15,https://alt.xyz/research/002244ea-4d30-47c5-8d13-3cad68c34bc6,,2003,Pokemon Skyridge,H15,Machamp,Italian Holo,PSA,10.0,,,31,,0,,,,,,,2026-09-13T11:51:09,,,,,,,,,0,,,,,0,0,0,,,,,0,0
asset:002249df-6aa9-44c2-a174-0f36762ad041,002249df-6aa9-44c2-a174-0f36762ad041,2024 Paldean Fates English Pineco #99,https://alt.xyz/research/002249df-6aa9-44c2-a174-0f36762ad041,,2024,Paldean Fates,99,Pineco,English,PSA,10.0,38,64,,,17,102.47,2026-05-30,eBay,90.49,102.47,13.0,2026-09-10T23:33:58,,,,,,80,2026-03-13,eBay,1,,,,,0,0,3,,,,2024-03-05,16,1
asset:0022d0ff-dbee-490d-9e26-6f2070c33af7,0022d0ff-dbee-490d-9e26-6f2070c33af7,2018 Pokemon Gx Ultra Shiny Xurkitree Gx #39,https://alt.xyz/research/0022d0ff-dbee-490d-9e26-6f2070c33af7,https://alt.xyz/itm/9ec244f7-8bb8-4616-bf78-b00e90d2bce4/external,2018,Pokemon Gx Ultra Shiny,39,Xurkitree Gx,,PSA,10.0,26,36,,,8,23.0,2026-07-09,PWCC Fixed Price,27.52,38.07,11.09,2026-09-10T22:48:34,,,,,,23,2026-07-09,PWCC Fixed Price,0,,6.98,-39.58,,0,1,2,,,23,2021-07-06,8,1
asset:00236264-93a6-4a4d-9204-64efbc3119bc,00236264-93a6-4a4d-9204-64efbc3119bc,2022 TCG Sword & Shield Pokemon Go Blastoise Reverse #017,https://alt.xyz/research/00236264-93a6-4a4d-9204-64efbc3119bc,,2022,TCG Sword & Shield Pokemon Go,017,Blastoise Reverse,,PSA,10.0,,,8,,0,,,,,,,2026-09-13T12:10:18,,,,,,,,,0,,,,,0,0,0,,,,,0,0
asset:0023a6eb-a078-4764-a076-7efd3c994309,0023a6eb-a078-4764-a076-7efd3c994309,2010 Pokemon White Collection Japanese 1st Edition Thundurus #54,https://alt.xyz/research/0023a6eb-a078-4764-a076-7efd3c994309,https://alt.xyz/itm/ed74f3d7-a2a7-4a78-a231-d86448f04eb5/external,2010,Pokemon White Collection Japanese,54,Thundurus,1st Edition,PSA,10.0,84,176,,,30,350.0,2026-07-03,eBay,236.83,350.0,50.28,2026-09-10T23:23:18,,,,,,350,2026-07-03,eBay,0,,0,-10,,0,1,8,,,198,2021-11-07,30,1
asset:002427d0-1ec7-40ff-9eab-e2b223639124,002427d0-1ec7-40ff-9eab-e2b223639124,2025 Pokemon Scarlet and Violet White Flare Japanese Art Rare Druddigon #150,https://alt.xyz/research/002427d0-1ec7-40ff-9eab-e2b223639124,https://alt.xyz/itm/a5f4b309-cce9-4507-97f6-67e950085ab7/external,2025,Pokemon Scarlet and Violet White Flare Japanese,150,Druddigon,Art Rare,PSA,10.0,620,722,,,38,35.0,2026-09-09,eBay,41.98,100.0,24.5,2026-09-10T22:21:33,,,,,,35,2026-09-09,eBay,0,-42.95,-42.95,,,2,4,38,,,43.93,2025-09-15,38,1
asset:00245472-23c3-48b5-b2c2-f39700068715,00245472-23c3-48b5-b2c2-f39700068715,2025 Pokemon Scarlet and Violet Destined Rivals Illustration Rare Rapidash #189,https://alt.xyz/research/00245472-23c3-48b5-b2c2-f39700068715,https://alt.xyz/itm/6ad652d5-cb53-4147-9150-d05230bf9034/external,2025,Pokemon Scarlet and Violet Destined Rivals,189,Rapidash,Illustration Rare,PSA,10.0,1260,4999,,,313,155.0,2026-09-02,eBay,170.0,244.27,58.0,2026-09-10T21:55:45,,,,,,155,2026-09-02,eBay,0,17.24,-10.53,,,6,41,197,,,170,2025-11-26,197,1
asset:00252aa7-c252-46f1-9a67-46bc33901abb,00252aa7-c252-46f1-9a67-46bc33901abb,2000 Pokemon Tv Animation Series 3 Silver Foil Misty #HV7,https://alt.xyz/research/00252aa7-c252-46f1-9a67-46bc33901abb,,2000,Pokemon Tv Animation Series 3 Silver Foil,HV7,Misty,,PSA,10.0,8,34,,,4,199.99,2024-08-02,eBay,210.83,330.0,102.5,2026-09-11T00:06:22,,,,,,199.99,2024-08-02,eBay,0,,,,,0,0,0,,,,2023-06-21,4,1
asset:00267e26-77a0-4274-ac26-ed793c1aad1e,00267e26-77a0-4274-ac26-ed793c1aad1e,2023 Pokemon Scarlet and Violet Strength Expansion Pack 151 Japanese Jigglypuff #39,https://alt.xyz/research/00267e26-77a0-4274-ac26-ed793c1aad1e,https://alt.xyz/itm/203bf8d9-1c8b-456d-8eb5-65d867989b81/external,2023,Pokemon Scarlet and Violet Strength Expansion Pack 151 Japanese,39,Jigglypuff,,PSA,10.0,101,143,,,10,75.0,2026-08-09,eBay,50.67,248.0,9.84,2026-09-10T23:27:08,,,,,,75,2026-08-09,eBay,0,,-76.81,,,0,4,7,,,40,2023-10-22,10,1
asset:0026cc01-6ac2-4e2e-b7b4-e025f3f5d079,0026cc01-6ac2-4e2e-b7b4-e025f3f5d079,2009 Pokemon Platinum Holo Palkia G Lv X #125,https://alt.xyz/research/0026cc01-6ac2-4e2e-b7b4-e025f3f5d079,https://alt.xyz/itm/c19f6278-ea2d-4486-a265-6c866f9c99dc/external,2009,Pokemon Platinum,125,Palkia G Lv X,Holo,PSA,10.0,31,1060,1305,,23,24000.0,2026-08-30,PWCC Weekly Auctions,13700.0,24000.0,350.0,2026-09-12T10:04:21,,,,,,24000,2026-08-30,PWCC Weekly Auctions,0,143.57,143.57,175,,1,1,4,,,17050,2021-06-17,23,1
asset:0027c49f-3203-4ed4-b2d4-2afb393322b9,0027c49f-3203-4ed4-b2d4-2afb393322b9,2017 Pokemon Sun and Moon Shining Legends Japanese Zoroark Gx #54,https://alt.xyz/research/0027c49f-3203-4ed4-b2d4-2afb393322b9,https://alt.xyz/itm/3e839eae-d213-41a3-a8b5-2837a30c941b/external,2017,Pokemon Sun and Moon Shining Legends Japanese,54,Zoroark Gx,,PSA,10.0,72,82,,,10,75.0,2026-07-29,eBay,49.93,75.0,21.0,2026-09-10T23:39:03,,,,,,75,2026-07-29,eBay,0,,43.75,65.23,,0,1,2,,,57.5,2021-08-07,10,1
asset:002832bd-1b10-4922-8857-f8be4b1b966c,002832bd-1b10-4922-8857-f8be4b1b966c,2020 Star Pokemon TCG Sword & Shield Black Promos Charizard Stamp [Set Logo]/(Vivid Voltage Build & Battle Box) #SWSH066,https://alt.xyz/research/002832bd-1b10-4922-8857-f8be4b1b966c,,2020,Star,SWSH066,Charizard Stamp [Set Logo]/(Vivid Voltage Build & Battle Box),Pokemon TCG Sword & Shield Black  Promos,PSA,10.0,,,5,,0,,,,,,,2026-09-13T12:17:54,,,,,,,,,0,,,,,0,0,0,,,,,0,0
asset:002cd164-356a-42a4-8a00-da19f8b77085,002cd164-356a-42a4-8a00-da19f8b77085,2023 Pokemon Sword and Shield Crown Zenith Hisuian Zoroark Vstar #GG56,https://alt.xyz/research/002cd164-356a-42a4-8a00-da19f8b77085,https://alt.xyz/itm/3308a238-81ee-4c9b-a251-440a333d4a96/external,2023,Pokemon Sword and Shield Crown Zenith,GG56,Hisuian Zoroark Vstar,,PSA,10.0,6644,10828,,,1716,190.0,2026-09-10,eBay,183.93,227.5,20.5,2026-09-10T21:48:15,,,,,,190,2026-09-10,eBay,0,-3.12,2.78,,,38,129,195,,,185,2026-05-05,195,1
asset:003069bb-4e37-4271-b223-a3e403ffd28b,003069bb-4e37-4271-b223-a3e403ffd28b,1995 Pokemon Topsun Japanese Holo Articuno #144,https://alt.xyz/research/003069bb-4e37-4271-b223-a3e403ffd28b,,1995,Pokemon Topsun,144,Articuno,Japanese Holo,PSA,10.0,9,158,166,,1,2750.0,2023-10-19,eBay,2750.0,2750.0,2750.0,2026-09-13T11:16:58,,,,,,2750,2023-10-19,eBay,0,,,,,0,0,0,,,,2023-10-19,1,1
asset:00320e4f-302a-474a-b532-aea92c2f7f65,00320e4f-302a-474a-b532-aea92c2f7f65,2021 Pokemon 25th Anniversary Collection Mandarin Flying Pikachu V #23,https://alt.xyz/research/00320e4f-302a-474a-b532-aea92c2f7f65,https://alt.xyz/itm/ba640db8-f5dc-467f-9db7-c4fac8050ffc/external,2021,Pokemon 25th Anniversary Collection Mandarin,23,Flying Pikachu V,,PSA,10.0,55,63,64,,8,99.99,2026-06-08,eBay,61.0,99.99,17.5,2026-09-13T11:40:47,,,,,,99.99,2026-06-08,eBay,0,,,91.24,,0,0,3,,,76.5,2023-01-02,8,0
asset:00345265-21fa-4678-8167-c41c445ccda8,00345265-21fa-4678-8167-c41c445ccda8,2023 Pokemon Scarlet and Violet Scarlet Ex Japanese Super Rare Oinkologne Ex #96,https://alt.xyz/research/00345265-21fa-4678-8167-c41c445ccda8,,2023,Pokemon Scarlet and Violet Scarlet Ex Japanese,96,Oinkologne Ex,Super Rare,PSA,10.0,287,329,,,20,14.51,2026-07-30,eBay,19.0,39.99,3.5,2026-09-10T22:31:07,,,,,,14.51,2026-07-30,eBay,1,,-22.35,-36.51,,0,1,4,,,16.5,2023-03-26,19,1
asset:0034c54a-beb4-4575-be49-43c79b9b4345,0034c54a-beb4-4575-be49-43c79b9b4345,2025 Prismatic Evolutions English Master Ball Holo Larvitar #47,https://alt.xyz/research/0034c54a-beb4-4575-be49-43c79b9b4345,https://alt.xyz/itm/3984e9b5-205e-4672-b844-fc1853e132d2/external,2025,Prismatic Evolutions,47,Larvitar,English Master Ball Holo,PSA,10.0,88,345,,,20,143.53,2026-08-19,eBay,181.34,200.5,28.0,2026-09-10T22:49:54,,,,,,143.53,2026-08-19,eBay,0,0,74.67,207.74,,1,3,14,,,200,2025-03-09,20,1
asset:003515ea-a08e-49d0-b1aa-3232aecd0384,003515ea-a08e-49d0-b1aa-3232aecd0384,2022 Pokemon Sword and Shield Black Star Promo Special Collection Glaceon Vstar #SWSH197,https://alt.xyz/research/003515ea-a08e-49d0-b1aa-3232aecd0384,https://alt.xyz/itm/c3010d33-141c-4541-994c-ce67bc0c5517/external,2022,Pokemon Sword and Shield Black Star Promo,SWSH197,Glaceon Vstar,Special Collection,PSA,10.0,425,706,1641,,130,74.4,2026-09-10,Alt,83.13,100.0,15.52,2026-09-12T09:59:51,,,,,,74.4,2026-09-10,Alt,0,74.4,25,114.26,,8,14,50,,,74.99,2022-06-03,129,1
asset:0036c0e5-6b8e-4769-9e00-759b3382f88c,0036c0e5-6b8e-4769-9e00-759b3382f88c,2002 Pokemon the Town On No Map Japanese 1st Edition Tyrogue #55,https://alt.xyz/research/0036c0e5-6b8e-4769-9e00-759b3382f88c,https://alt.xyz/itm/1e46ff26-aa73-4d06-842e-c969e0ab0148/external,2002,Pokemon the Town On No Map,55,Tyrogue,Japanese 1st Edition,PSA,10.0,79,113,,,25,162.0,2026-08-30,PWCC Weekly Auctions,166.5,217.5,27.0,2026-09-10T23:23:53,,,,,,162,2026-08-30,PWCC Weekly Auctions,0,29.6,22.73,117.74,,3,6,16,,,162,2021-10-28,25,1
asset:00395998-8280-40bc-beb8-ac4a193f3fc2,00395998-8280-40bc-beb8-ac4a193f3fc2,2020 Pokemon Sword and Shield Shiny Star V Japanese Orbeetle #208,https://alt.xyz/research/00395998-8280-40bc-beb8-ac4a193f3fc2,,2020,Pokemon Sword and Shield Shiny Star V Japanese,208,Orbeetle,,PSA,10.0,85,100,,,14,56.32,2026-07-31,eBay,34.3,56.32,9.5,2026-09-10T23:17:08,,,,,,56.32,2026-07-31,eBay,0,,81.71,54.17,,0,1,2,,,38.85,2021-10-17,14,1
asset:0039dbd2-660e-46ba-a93b-b5c26ef073db,0039dbd2-660e-46ba-a93b-b5c26ef073db,2009 Pokemon Heartgold Collection 1st Edition Japanese Phanpy #44,https://alt.xyz/research/0039dbd2-660e-46ba-a93b-b5c26ef073db,,2009,Pokemon Heartgold Collection 1st Edition Japanese,44,Phanpy,,PSA,10.0,21,40,,,5,39.99,2024-12-27,eBay,32.13,122.5,12.0,2026-09-11T00:02:19,,,,,,39.99,2024-12-27,eBay,0,,,,,0,0,0,,,,2021-04-18,5,1
asset:003d6fc5-8be8-4b31-8614-00dd8d7e5244,003d6fc5-8be8-4b31-8614-00dd8d7e5244,2015 Pokemon XY Double Crisis Combini Promotion Treecko #107XYP,https://alt.xyz/research/003d6fc5-8be8-4b31-8614-00dd8d7e5244,,2015,Pokemon XY Double Crisis Combini Promotion,107XYP,Treecko,,PSA,10.0,14,24,,,6,750.0,2026-08-09,PWCC Weekly Auctions,666.67,1000.0,71.0,2026-09-11T00:21:33,,,,,,250,2026-03-03,eBay,2,,,,,0,0,3,,,,2025-04-12,4,1
asset:003d8f1c-b99e-4a80-9972-e14808d12715,003d8f1c-b99e-4a80-9972-e14808d12715,2009 Pokemon Platinum German Reverse Holo Blastoise #2,https://alt.xyz/research/003d8f1c-b99e-4a80-9972-e14808d12715,,2009,Pokemon Platinum,2,Blastoise,German Reverse Holo,PSA,10.0,,,1,,0,,,,,,,2026-09-13T13:34:36,,,,,,,,,0,,,,,0,0,0,,,,,0,0
asset:00413eee-b8b0-4666-923f-f27bbe4edb9d,00413eee-b8b0-4666-923f-f27bbe4edb9d,2023 Pokemon Trading Card Game Classic Charizard and Ho-Oh Ex Deck Japanese Clefable #14,https://alt.xyz/research/00413eee-b8b0-4666-923f-f27bbe4edb9d,https://alt.xyz/itm/366991c7-be46-4563-8098-66037ff67d87/external,2023,Pokemon Trading Card Game Classic Charizard and Ho-Oh Ex Deck Japanese,14,Clefable,,PSA,10.0,1190,1417,,,193,63.98,2026-09-09,eBay,54.5,1325.0,8.0,2026-09-10T22:06:22,,,,,,63.98,2026-09-09,eBay,1,-15.03,0.04,78.49,,6,14,64,,,53.53,2024-01-02,181,1
asset:00418a00-8656-4cff-aeb7-24c1373f45cf,00418a00-8656-4cff-aeb7-24c1373f45cf,2000 Pokemon Movie Three Treasures #52,https://alt.xyz/research/00418a00-8656-4cff-aeb7-24c1373f45cf,,2000,Pokemon Movie,52,Three Treasures,,PSA,10.0,5,26,,,2,25.0,2024-05-14,eBay,56.94,88.88,25.0,2026-09-11T00:00:04,,,,,,25,2024-05-14,eBay,0,,,,,0,0,0,,,,2024-02-19,2,1
